Nominee,Award,Frequency
ben affleck,best director - motion picture,3
oscar,best director - motion picture,3
speilberg,best director - motion picture,3
ben aflleck,best director - motion picture,3
ben,best director - motion picture,3
les mis,best motion picture - comedy or musical,3
jack black,best motion picture - comedy or musical,3
bernie,best motion picture - comedy or musical,3
hugh jackman,best motion picture - comedy or musical,3
oscar,best motion picture - comedy or musical,3
ben affleck,best motion picture - drama,3
oscar,best motion picture - drama,3
wheeeeeeeeeeeeee,best motion picture - drama,3
jen,best motion picture - drama,3
hahaha,best motion picture - drama,3
scg,best original score - motion picture,3
realhughjackman,best original score - motion picture,3
loveourscg,best original score - motion picture,3
tommy lee jones,best original score - motion picture,3
wowza jennifer lawrence,best original score - motion picture,3
kevin costner,best performance by an actor in a mini-series or motion picture made for television,3
hugh jackman,best performance by an actor in a motion picture - comedy or musical,3
comedy hugh jackman,best performance by an actor in a motion picture - comedy or musical,3
ben,best performance by an actor in a motion picture - drama,3
affleck,best performance by an actor in a motion picture - drama,3
les,best performance by an actor in a motion picture - drama,3
hugh jackman,best performance by an actor in a motion picture - drama,3
comedy hugh jackman,best performance by an actor in a motion picture - drama,3
christoph,best performance by an actor in a supporting role in a motion picture,3
django,best performance by an actor in a supporting role in a motion picture,3
christoph waltz,best performance by an actor in a supporting role in a motion picture,3
mike,best performance by an actor in a supporting role in a motion picture,3
leo,best performance by an actor in a supporting role in a motion picture,3
eric stonestreet,"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",3
ed harris,"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",3
schmidt,"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",3
harris,"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",3
don cheadle wins,"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television",3
comedy don cheadle,best performance by an actor in a television series - comedy or musical,3
don cheadle,best performance by an actor in a television series - drama,3
jim parsons,best performance by an actor in a television series - drama,3
steve,best performance by an actor in a television series - drama,3
damian lewis,best performance by an actor in a television series - drama,3
drama damian lewis,best performance by an actor in a television series - drama,3
comedy jennifer lawrence,best performance by an actress in a motion picture - comedy or musical,3
jennifer lawrence,best performance by an actress in a motion picture - drama,3
playbook,best performance by an actress in a motion picture - drama,3
congrats jen,best performance by an actress in a motion picture - drama,3
jennifer,best performance by an actress in a motion picture - drama,3
lawrence wins,best performance by an actress in a motion picture - drama,3
miniseries,best performance by an actress in a supporting role in a motion picture,3
maggie smith,best performance by an actress in a supporting role in a motion picture,3
tina,best performance by an actress in a supporting role in a motion picture,3
amy,best performance by an actress in a supporting role in a motion picture,3
playbill anne hathaway,best performance by an actress in a supporting role in a motion picture,3
maggie smith,"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",3
happenstobeon,"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television",3
claire danes,best performance by an actress in a television series - drama,3
michelle dockery,best performance by an actress in a television series - drama,3
carrie mathison,best performance by an actress in a television series - drama,3
damien lewis,best performance by an actress in a television series - drama,3
lena,best performance by an actress in a television series - drama,3
amanda seyfried,best screenplay - motion picture,3
quentin tarantino,best screenplay - motion picture,3
quentin,best screenplay - motion picture,3
quentin taratino,best screenplay - motion picture,3
django,best screenplay - motion picture,3
juliane moore,best television series - drama,3
jessica lange,best television series - drama,3
don cheadle,best television series - drama,3
drama damian lewis,best television series - drama,3
damian lewis,best television series - drama,3
jodie foster,cecil b. demille award,3
kristen stewart,cecil b. demille award,3
simon baker,cecil b. demille award,3
premio cecil,cecil b. demille award,3
yale,cecil b. demille award,3
